date,year,month,day,day of week,weekend,Time,Hour,type,sandwiches,hamburger,frenchfries
2016/1/1,2016,1,1,6,1,19:32,19,1,6,0,1
2016/6/20,2016,6,20,2,0,18:37,18,2,7,0,0
2016/4/7,2016,4,7,5,0,21:10,21,1,3,0,2
2016/5/17,2016,5,17,3,0,11:32,11,1,5,0,1
2016/2/26,2016,2,26,6,1,16:38,16,0,3,2,0
2016/2/4,2016,2,4,5,0,11:55,11,2,3,2,0
2016/4/28,2016,4,28,5,0,14:27,14,0,5,1,2
2016/3/19,2016,3,19,7,1,12:18,12,1,2,1,0
2016/2/13,2016,2,13,7,1,21:13,21,2,6,2,0
2016/10/5,2016,10,5,4,0,18:21,18,2,7,2,0
2016/11/4,2016,11,4,6,1,17:34,17,1,3,0,0
2016/4/23,2016,4,23,7,1,20:28,20,2,7,0,0
2016/1/1,2016,1,1,6,1,12:23,12,1,5,1,2
2016/11/2,2016,11,2,4,0,20:45,20,1,3,2,0
2016/6/23,2016,6,23,5,0,11:50,11,2,7,0,1
2016/4/10,2016,4,10,1,0,16:11,16,2,6,0,0
2016/8/16,2016,8,16,3,0,21:32,21,0,5,2,1
2016/5/30,2016,5,30,2,0,20:14,20,1,3,0,2
2016/2/5,2016,2,5,6,1,18:25,18,1,4,2,0
2016/12/31,2016,12,31,7,1,19:24,19,1,4,1,2
2016/11/20,2016,11,20,1,0,16:50,16,1,3,1,0
2016/6/1,2016,6,1,4,0,11:15,11,2,6,2,2
2016/6/2,2016,6,2,5,0,21:20,21,2,4,2,0
2016/7/19,2016,7,19,3,0,18:58,18,0,5,2,0
2016/4/24,2016,4,24,1,0,15:26,15,0,5,2,0
2016/1/18,2016,1,18,2,0,21:57,21,2,4,1,2
2016/12/23,2016,12,23,6,1,15:29,15,2,3,1,2
2016/1/4,2016,1,4,2,0,15:20,15,2,2,1,1
2016/2/1,2016,2,1,2,0,20:17,20,0,2,1,1
2016/10/12,2016,10,12,4,0,20:10,20,0,6,2,2
2016/8/2,2016,8,2,3,0,17:04,17,2,6,2,0
2016/6/6,2016,6,6,2,0,12:29,12,1,4,2,2
2016/10/8,2016,10,8,7,1,12:52,12,0,3,2,2
2016/4/19,2016,4,19,3,0,14:41,14,2,4,2,0
2016/6/17,2016,6,17,6,1,18:23,18,2,4,0,1
2016/1/20,2016,1,20,4,0,15:52,15,0,5,2,0
2016/5/14,2016,5,14,7,1,11:53,11,0,2,1,1
2016/4/8,2016,4,8,6,1,21:14,21,2,3,2,2
2016/6/7,2016,6,7,3,0,21:11,21,0,2,2,1
2016/2/15,2016,2,15,2,0,17:16,17,0,6,1,1
2016/3/4,2016,3,4,6,1,17:20,17,2,4,1,2
2016/3/17,2016,3,17,5,0,18:17,18,1,6,2,1
2016/7/31,2016,7,31,1,0,19:39,19,2,3,1,0
2016/8/10,2016,8,10,4,0,17:34,17,0,5,1,2
2016/8/22,2016,8,22,2,0,15:41,15,1,6,2,1
2016/1/19,2016,1,19,3,0,17:48,17,2,4,2,0
2016/7/16,2016,7,16,7,1,21:59,21,0,6,1,0
2016/3/3,2016,3,3,5,0,11:17,11,0,7,2,2
2016/7/18,2016,7,18,2,0,20:27,20,0,4,2,0
2016/12/9,2016,12,9,6,1,12:54,12,2,7,1,1
2016/7/14,2016,7,14,5,0,21:14,21,1,7,0,2
2016/9/2,2016,9,2,6,1,20:59,20,1,2,1,2
2016/1/19,2016,1,19,3,0,11:17,11,2,5,1,1
2016/12/18,2016,12,18,1,0,15:24,15,2,3,1,0
2016/12/27,2016,12,27,3,0,19:45,19,0,2,0,0
2016/7/19,2016,7,19,3,0,21:13,21,1,3,0,1
2016/7/28,2016,7,28,5,0,15:49,15,1,3,1,2
2016/5/25,2016,5,25,4,0,12:13,12,2,3,2,0
2016/9/12,2016,9,12,2,0,19:13,19,2,2,0,0
2016/11/6,2016,11,6,1,0,12:49,12,2,3,2,1
2016/8/18,2016,8,18,5,0,14:12,14,0,2,1,1
2016/11/2,2016,11,2,4,0,11:04,11,2,7,0,0
2016/11/28,2016,11,28,2,0,20:13,20,0,2,1,2
2016/8/23,2016,8,23,3,0,21:47,21,2,4,1,2
2016/10/23,2016,10,23,1,0,17:49,17,1,6,0,2
2016/5/2,2016,5,2,2,0,20:49,20,1,4,0,0
2016/9/14,2016,9,14,4,0,17:15,17,1,7,1,1
2016/8/29,2016,8,29,2,0,21:35,21,0,3,0,2
2016/1/15,2016,1,15,6,1,13:54,13,0,2,1,0
2016/7/18,2016,7,18,2,0,17:44,17,0,2,2,2
2016/11/18,2016,11,18,6,1,15:38,15,2,7,2,2
2016/11/5,2016,11,5,7,1,19:40,19,0,5,0,2
2016/7/7,2016,7,7,5,0,18:19,18,0,6,2,2
2016/1/2,2016,1,2,7,1,11:24,11,2,4,2,1
2016/1/13,2016,1,13,4,0,20:11,20,0,6,2,0
2016/7/15,2016,7,15,6,1,20:32,20,2,3,0,1
2016/10/26,2016,10,26,4,0,18:46,18,1,2,0,2
2016/1/11,2016,1,11,2,0,15:05,15,0,6,1,0
2016/7/20,2016,7,20,4,0,17:23,17,1,5,1,2
2016/2/19,2016,2,19,6,1,13:04,13,2,4,2,2
2016/4/23,2016,4,23,7,1,18:37,18,1,2,1,2
2016/11/9,2016,11,9,4,0,18:09,18,0,7,0,2
2016/3/10,2016,3,10,5,0,13:51,13,2,2,0,2
2016/11/7,2016,11,7,2,0,14:41,14,0,5,2,1
2016/5/23,2016,5,23,2,0,13:46,13,1,2,1,1
2016/2/16,2016,2,16,3,0,11:57,11,1,6,0,0
2016/3/29,2016,3,29,3,0,14:52,14,2,5,2,1
2016/2/5,2016,2,5,6,1,16:30,16,1,2,2,0
2016/2/10,2016,2,10,4,0,11:43,11,1,2,1,2
2016/2/18,2016,2,18,5,0,21:46,21,2,7,2,1
2016/12/2,2016,12,2,6,1,16:03,16,0,7,2,1
2016/11/10,2016,11,10,5,0,14:20,14,1,4,2,1
2016/11/3,2016,11,3,5,0,16:07,16,1,3,0,1
2016/12/22,2016,12,22,5,0,18:20,18,2,6,1,0
2016/2/2,2016,2,2,3,0,16:22,16,1,3,2,2
2016/1/30,2016,1,30,7,1,14:11,14,1,4,0,0
2016/5/2,2016,5,2,2,0,18:25,18,2,5,1,2
2016/7/30,2016,7,30,7,1,17:06,17,2,2,0,0
2016/4/10,2016,4,10,1,0,11:03,11,0,3,1,0
2016/4/25,2016,4,25,2,0,11:56,11,1,5,1,1
2016/5/4,2016,5,4,4,0,21:59,21,1,5,1,1
2016/3/21,2016,3,21,2,0,11:56,11,2,6,2,1
2016/10/29,2016,10,29,7,1,20:12,20,0,5,2,0
2016/6/18,2016,6,18,7,1,11:36,11,0,6,0,2
2016/10/27,2016,10,27,5,0,14:54,14,1,7,2,0
2016/7/18,2016,7,18,2,0,17:43,17,1,7,0,1
2016/7/30,2016,7,30,7,1,12:42,12,0,2,0,0
2016/11/25,2016,11,25,6,1,18:41,18,0,6,0,2
2016/3/16,2016,3,16,4,0,15:45,15,1,3,2,0
2016/12/26,2016,12,26,2,0,12:54,12,2,2,0,0
2016/6/24,2016,6,24,6,1,11:20,11,1,7,0,2
2016/8/20,2016,8,20,7,1,19:00,19,0,7,2,1
2016/11/22,2016,11,22,3,0,15:42,15,1,4,2,2
2016/6/16,2016,6,16,5,0,19:44,19,0,4,1,0
2016/4/18,2016,4,18,2,0,12:06,12,1,6,2,0
2016/3/13,2016,3,13,1,0,18:41,18,2,7,1,0
2016/4/8,2016,4,8,6,1,11:04,11,2,4,2,1
2016/11/12,2016,11,12,7,1,15:36,15,1,6,1,2
2016/12/6,2016,12,6,3,0,11:15,11,0,3,0,0
2016/12/14,2016,12,14,4,0,15:56,15,2,5,2,2
2016/8/23,2016,8,23,3,0,19:17,19,2,3,2,0
2016/2/12,2016,2,12,6,1,21:20,21,1,2,1,0
2016/7/3,2016,7,3,1,0,17:34,17,2,7,2,0
2016/7/21,2016,7,21,5,0,21:14,21,1,4,2,2
2016/8/6,2016,8,6,7,1,16:07,16,1,3,2,2
2016/10/31,2016,10,31,2,0,18:44,18,0,3,2,2
2016/8/23,2016,8,23,3,0,17:32,17,1,3,1,0
2016/7/23,2016,7,23,7,1,13:45,13,0,6,1,0
2016/8/30,2016,8,30,3,0,18:54,18,2,7,0,1
2016/9/26,2016,9,26,2,0,14:19,14,0,7,0,2
2016/10/8,2016,10,8,7,1,16:25,16,2,5,2,1
2016/11/7,2016,11,7,2,0,19:51,19,0,5,2,0
2016/10/13,2016,10,13,5,0,16:53,16,0,6,1,1
2016/10/11,2016,10,11,3,0,16:23,16,0,2,0,1
2016/8/8,2016,8,8,2,0,18:01,18,2,7,2,2
2016/10/24,2016,10,24,2,0,18:01,18,0,3,0,2
2016/5/23,2016,5,23,2,0,16:43,16,1,6,1,2
2016/4/6,2016,4,6,4,0,18:38,18,1,6,0,0
2016/6/28,2016,6,28,3,0,13:49,13,0,3,1,2
2016/9/30,2016,9,30,6,1,19:02,19,1,4,1,0
2016/8/4,2016,8,4,5,0,19:30,19,0,5,0,0
2016/2/23,2016,2,23,3,0,12:05,12,0,3,0,0
2016/1/17,2016,1,17,1,0,19:23,19,0,5,2,2
2016/11/18,2016,11,18,6,1,15:44,15,0,7,2,0
2016/11/28,2016,11,28,2,0,13:33,13,1,6,0,1
2016/5/11,2016,5,11,4,0,18:42,18,0,5,1,0
2016/3/2,2016,3,2,4,0,14:48,14,0,7,1,0
2016/10/22,2016,10,22,7,1,21:48,21,0,3,0,2
2016/8/23,2016,8,23,3,0,11:18,11,2,4,1,1
2016/9/28,2016,9,28,4,0,16:32,16,2,5,0,0
2016/12/31,2016,12,31,7,1,21:04,21,1,4,2,1
2016/4/15,2016,4,15,6,1,11:38,11,0,4,1,2
2016/7/1,2016,7,1,6,1,18:38,18,1,3,2,2
2016/6/11,2016,6,11,7,1,11:42,11,1,4,0,0
2016/2/1,2016,2,1,2,0,16:15,16,0,3,0,1
2016/6/21,2016,6,21,3,0,21:20,21,2,7,1,2
2016/10/25,2016,10,25,3,0,13:22,13,2,3,0,0
2016/10/18,2016,10,18,3,0,20:55,20,0,5,2,0
2016/1/7,2016,1,7,5,0,15:44,15,0,4,0,2
2016/11/30,2016,11,30,4,0,13:31,13,1,2,2,2
2016/5/7,2016,5,7,7,1,18:22,18,2,5,2,0
2016/6/18,2016,6,18,7,1,15:54,15,0,6,1,1
2016/11/17,2016,11,17,5,0,15:11,15,2,4,2,2
2016/6/16,2016,6,16,5,0,12:22,12,1,2,0,1
2016/9/1,2016,9,1,5,0,13:23,13,1,4,2,1
2016/8/25,2016,8,25,5,0,17:16,17,2,6,1,2
2016/2/4,2016,2,4,5,0,16:30,16,0,2,1,0
2016/11/30,2016,11,30,4,0,19:56,19,1,2,2,1
2016/6/16,2016,6,16,5,0,19:53,19,1,5,0,0
2016/3/21,2016,3,21,2,0,14:54,14,1,7,1,2
2016/10/2,2016,10,2,1,0,12:11,12,1,6,1,1
2016/5/1,2016,5,1,1,0,19:00,19,1,4,2,2
2016/10/14,2016,10,14,6,1,17:45,17,1,5,1,0
2016/6/10,2016,6,10,6,1,18:20,18,1,3,0,1
2016/6/1,2016,6,1,4,0,12:28,12,2,5,2,2
2016/11/13,2016,11,13,1,0,14:55,14,0,7,2,0
2016/4/11,2016,4,11,2,0,11:36,11,2,2,2,2
2016/11/10,2016,11,10,5,0,18:24,18,2,7,0,0
2016/11/8,2016,11,8,3,0,18:27,18,1,2,0,2
2016/1/31,2016,1,31,1,0,17:08,17,0,7,0,1
2016/1/16,2016,1,16,7,1,17:13,17,1,2,1,1
2016/11/14,2016,11,14,2,0,17:55,17,2,4,2,1
2016/6/27,2016,6,27,2,0,20:19,20,2,6,2,0
2016/6/30,2016,6,30,5,0,12:01,12,2,4,1,1
2016/8/23,2016,8,23,3,0,18:22,18,1,5,1,0
2016/12/19,2016,12,19,2,0,13:55,13,1,5,0,1
2016/7/15,2016,7,15,6,1,17:04,17,1,6,2,1
2016/4/5,2016,4,5,3,0,18:09,18,0,7,1,0
2016/1/19,2016,1,19,3,0,15:22,15,1,6,2,0
2016/3/1,2016,3,1,3,0,20:33,20,1,7,1,0
2016/1/13,2016,1,13,4,0,21:00,21,0,7,2,2
2016/12/18,2016,12,18,1,0,21:40,21,2,3,2,0
2016/7/8,2016,7,8,6,1,19:16,19,1,7,1,2
2016/2/18,2016,2,18,5,0,20:08,20,0,2,1,0
2016/11/18,2016,11,18,6,1,14:25,14,2,3,0,1
2016/6/10,2016,6,10,6,1,14:10,14,1,6,0,1
2016/7/2,2016,7,2,7,1,21:30,21,2,4,0,2
2016/7/11,2016,7,11,2,0,16:04,16,2,6,1,1
2016/7/11,2016,7,11,2,0,20:48,20,2,2,0,2
2016/11/24,2016,11,24,5,0,18:09,18,0,2,1,0
2016/10/7,2016,10,7,6,1,14:57,14,0,7,1,1
2016/1/8,2016,1,8,6,1,21:22,21,2,3,1,0
2016/5/30,2016,5,30,2,0,12:00,12,0,5,0,0
2016/2/21,2016,2,21,1,0,18:42,18,0,7,0,1
2016/11/22,2016,11,22,3,0,20:05,20,0,4,1,0
2016/8/13,2016,8,13,7,1,12:58,12,0,4,0,0
2016/11/16,2016,11,16,4,0,14:33,14,0,3,2,1
2016/12/16,2016,12,16,6,1,15:26,15,1,4,0,2
2016/12/1,2016,12,1,5,0,15:01,15,0,7,0,0
2016/5/9,2016,5,9,2,0,14:43,14,0,2,2,2
2016/9/9,2016,9,9,6,1,18:37,18,0,6,0,1
2016/8/11,2016,8,11,5,0,14:52,14,0,5,2,2
2016/2/1,2016,2,1,2,0,21:28,21,0,3,1,1
2016/2/1,2016,2,1,2,0,11:07,11,1,4,2,1
2016/5/10,2016,5,10,3,0,14:34,14,2,4,2,1
2016/7/26,2016,7,26,3,0,20:37,20,1,7,2,1
2016/10/29,2016,10,29,7,1,11:41,11,0,2,1,2
2016/7/9,2016,7,9,7,1,21:52,21,0,4,0,1
2016/2/11,2016,2,11,5,0,11:28,11,2,4,0,1
2016/6/15,2016,6,15,4,0,17:14,17,2,3,0,0
2016/2/9,2016,2,9,3,0,12:55,12,2,4,2,2
2016/7/4,2016,7,4,2,0,21:34,21,1,6,2,1
2016/1/14,2016,1,14,5,0,11:55,11,1,2,1,1
2016/1/3,2016,1,3,1,0,14:08,14,0,6,2,0
2016/6/23,2016,6,23,5,0,14:50,14,1,7,0,2
2016/9/13,2016,9,13,3,0,15:44,15,0,3,0,2
2016/10/10,2016,10,10,2,0,15:44,15,2,6,0,1
2016/8/25,2016,8,25,5,0,11:34,11,0,5,2,2
2016/12/6,2016,12,6,3,0,17:13,17,0,5,1,1
2016/1/20,2016,1,20,4,0,11:39,11,0,5,0,0
2016/6/12,2016,6,12,1,0,18:11,18,1,3,1,0
2016/6/30,2016,6,30,5,0,13:30,13,2,4,1,2
2016/1/23,2016,1,23,7,1,12:59,12,1,4,1,1
2016/6/10,2016,6,10,6,1,15:38,15,2,2,1,1
2016/10/13,2016,10,13,5,0,17:54,17,2,5,0,2
2016/9/26,2016,9,26,2,0,20:52,20,2,5,0,1
2016/2/6,2016,2,6,7,1,16:07,16,1,5,2,1
2016/5/7,2016,5,7,7,1,21:43,21,0,3,1,1
2016/7/22,2016,7,22,6,1,17:32,17,0,2,0,2
